track_id,track_name,artist,genre,year,tempo
TRAABJS128F9325C99,Auburn and Ivory,Beach House,Rock,2006,145.601
TRAACER128F4290F96,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,Metal,2004,166.906
TRAACIR128F42963AC,Cradle In The Crater,The Number Twelve Looks Like You,,2007,133.611
TRAACPH12903CF5F14,Double Feature,Camera Obscura,Rock,2001,114.035
TRAADCQ128F932EC14,The Beacon,Enslaved,Pop,2010,145.011
TRAADQW128F427CE68,Prophecy,Soulfly,,2019,134.787
TRAADVO128E07999E9,Oh God,Jamie Cullum,Jazz,2005,71.839
TRAAFGQ128F427D884,One Last Time,The Kooks,Rock,2008,82.575
TRAAFOY128F146CC17,Astair,Matt Costa,,2014,104.131
TRAAGCZ128F93210FD,Let's Get It Started,Black Eyed Peas,,2013,104.989
TRAAGPJ128F428CD1B,I Never Came,Queens of the Stone Age,Rock,2005,115.44
TRAAHDK128F423BB26,Folding Stars,Biffy Clyro,Rock,2008,205.542
TRAAHSY128F147BB5C,Speed of Sound,Coldplay,Rock,2008,123.085
TRAAIQS128F9301078,Kladfvgbung Micshk,Aphex Twin,,2001,129.943
TRAAIUW128F4290B94,These Days,Foo Fighters,,2011,134.984
TRAAJJW128F4298683,You Are The Only One I Love,Jaymay,Folk,2007,77.429
TRAAJXX128F4239802,We Shall All Bleed,DeadLock,Metal,2014,114.89
TRAAKDG128F42A0ECB,Hips Don't Lie,Shakira,Pop,2001,100.003
TRAAKLQ12903CB0D25,Growler,FC/Kahuna,Electronic,2002,119.954
TRAAKRN128F92FF8D0,Come On You Slags,Aphex Twin,Electronic,1995,89.51
TRAALAH128E078234A,Bitter Sweet Symphony,The Verve,,1999,171.052
TRAANRJ128F931D72D,Danger: Wildman,The Devil Wears Prada,Metal,2012,148.837
TRAANSZ128F425DD63,Stop Coming to My House,Mogwai,Rock,2005,94.519
TRAAPKN128F429CE4D,Bricks,Rise Against,,2006,174.072
TRAAQYH128F92D5C30,Tao and Zen,Karunesh,New Age,2001,61.65
TRAARXB128F92FA0BF,Blackmail The Universe,Megadeth,Metal,2004,175.729
TRAARZE128F93264E9,Shark,Juno Reactor,Electronic,2002,75.201
TRAASQC128F93480F0,Amber Changing,Rise Against,,2013,105.692
TRAAUEO128E0780CB9,English Summer Rain,Placebo,Rock,2003,108.27
TRAAUKD128F14613E4,Security,Joss Stone,Pop,2006,135.966
TRAAVRU128F423EAE2,No Aloha,The Breeders,Rock,1993,107.621
TRAAWPB128F932A8DE,Man On Your Mind,Little River Band,Rock,2014,124.908
TRAAXAV128E0788BB9,Astrud Astronette,De-Phazz,Jazz,2005,129.919
TRAAXOW128F931C2DC,Another Day,Air,Jazz,2004,130.071
TRAAXPX128F42AA93D,Letter Read,Rachael Yamagata,Pop,2004,99.048
TRAAYBP128E0792605,Bob,NOFX,Rock,1995,89.782
TRAAYVI128F4286706,The Trial,Pink Floyd,Folk,1979,76.846
TRAAZVF128F145BFED,I Want a New Drug,Huey Lewis & The News,Rock,1983,110.293
TRABBFC128F42424F0,Deliver Me,Parkway Drive,,2010,90.889
TRABBHI128F426260D,Trusty Chords,Hot Water Music,,2003,98.52
TRABCJP128F4228913,The Christmas Song,Nat King Cole,Jazz,2012,74.104
TRABCUQ128E0783E2B,Harajuku Girls,Gwen Stefani,Pop,2004,114.007
TRABDPR128F9326104,Set Apart This Dream,Flyleaf,Rock,2009,150.085
TRABEIU128F4266CC2,I Can't Tell You Why,Eagles,RnB,1979,85.094
TRABFDT12903CADD73,Up Up & Away,Kid Cudi,Rap,2009,120.032
TRABFEL128F931FD79,Am I Going Insane (Radio),Black Sabbath,,1975,134.915
TRABHYO128F9307B76,What I'm Trying To Say,Stars,Rock,2007,154.958
TRABJSS12903CA735D,Introduction,Panic! at the Disco,,2005,130.334
TRABJWA128F9309C09,Warrior's Quest,Ensiferum,Rock,2006,179.955
TRABJZT128F425C8DC,Hustle and Cuss,The Dead Weather,,2010,89.658
TRABKEH12903CE5BE9,J'Ai Deux Amours,Madeleine Peyroux,Jazz,2009,86.289
TRABKOG128F427C466,Man With No Country,Flogging Molly,,2008,151.971
TRABLLC128F427F42F,Pushing Through,Mudvayne,Metal,2005,97.76
TRABLUU128F1463532,Unbelievable,EMF,RnB,2010,104.068
TRABMBG128F429E9F1,Sweedeedee,Cat Power,,2000,85.445
TRABMTL128F92C3A05,Anyone Can Dig A Hole But It Takes A Real Man To Call It Home,Underoath,Rock,2008,173.827
TRABOVH128F427D3B4,Fancy Footwork,Chromeo,Electronic,2010,129.958
